SMH,CH,Tmin,Tmax,Tavg
0.790254634,223.0718,22.46,31.55,26.98
1.314975077,412.0915,22.59,30.45,26.48
2.151511356,394.9753,22.26,30.84,26.53
1.528480708,251.6632,22.84,31.03,26.91
2.364784706,245.6692,22.9,31.93,27.38
2.523478458,324.0395,22.24,30.75,26.47
2.410584628,241.1734,22.35,30.89,26.6
2.379773368,307.9715,23.21,31.87,27.51
2.243811338,354.3159,22.84,31.19,27
1.860307521,323.4619,22.34,31.03,26.66
1.869063919,405.4022,22.9,32.16,27.51
1.713110624,261.3862,22.88,31.94,27.38
1.922327078,357.604,23.37,32.41,27.87
2.113357546,355.593,22.79,31.43,27.08
1.376753932,268.5999,22.67,31.36,26.99
1.615945131,318.1445,22.55,30.99,26.74
2.376540183,521.7546,23.27,31.73,27.47
2.549598487,368.101,22.71,31.31,26.99
2.801687584,351.705,22.86,31.13,26.96
2.742922988,375.611,22.95,31.28,27.09
2.724188757,237.1353,22.81,30.96,26.86
2.633082759,368.0953,23.34,31.1,27.19
2.686493578,415.8286,23.02,31.42,27.2
2.738862646,368.165,23.35,31.1,27.2
2.730031227,360.2075,23.13,31.31,27.2
3.053504496,323.2978,23.05,32.14,27.58
2.592104911,315.9753,23.45,31.66,27.53
2.56262737,287.9221,23.06,32.04,27.52
2.761997833,313.5182,22.64,32.61,27.59
2.761997833,276.989,23.43,31.63,27.51
2.685273,259.6274,23.2,31.42,27.29
2.733984,326.9414,23.34,31.76,27.52
2.2539035,362.7671,22.98,30.89,26.91
0.790254634,277.9539,22.62,32.19,27.38
1.314975077,312.3622,22.13,31.44,26.76
2.151511356,351.9206,21.97,31.34,26.63
1.528480708,327.4473,22.38,31.87,27.1
2.364784706,361.1157,22.29,31.56,26.89
2.523478458,340.0886,22.66,31.81,27.22
2.410584628,239.7336,22.46,32.34,27.38
2.379773368,209.047,23.09,32.29,27.67
2.243811338,207.1063,23.08,32.48,27.76
1.860307521,329.5271,22.5,32.32,27.39
1.869063919,331.6521,23.05,32.06,27.53
1.713110624,258.7834,22.74,32.29,27.49
1.922327078,337.9792,22.77,32.69,27.71
2.113357546,355.3002,22.83,32.27,27.52
1.376753932,277.475,22.54,32.31,27.4
1.615945131,339.6517,22.71,31.88,27.27
2.376540183,258.1789,22.4,32.21,27.28
2.549598487,301.0043,22.79,31.87,27.3
2.801687584,310.1053,22.98,31.95,27.44
2.742922988,294.3099,23.05,31.56,27.29
2.724188757,328.3478,22.94,32.23,27.56
2.633082759,356.7792,23.07,31.97,27.5
2.686493578,434.3,23.03,32.33,27.66
2.738862646,388.5507,23.17,32.02,27.57
2.730031227,376.1256,23.04,32.29,27.64
3.053504496,317.7347,22.85,32.29,27.55
2.592104911,440.2416,23.44,32.05,27.73
2.56262737,434.915,22.73,32.25,27.47
2.761997833,348.3975,23.49,32.32,27.87
2.761997833,224.4262,23.4,32.41,27.88
2.685273,357.0748,22.81,32.36,27.56
2.733984,263.186,23.11,32.25,27.66
2.2539035,339.7453,23.14,32.06,27.57
0.790254634,305.9687,22.41,32.32,27.34
1.314975077,135.9377,22.27,32.19,27.21
2.151511356,218.1679,22.26,32.12,27.17
1.528480708,294.4987,22.41,32.04,27.2
2.364784706,159.4899,22.67,32.1,27.36
2.523478458,260.2446,22.78,32.61,27.67
2.410584628,407.5293,22.51,32.08,27.27
2.379773368,115.8443,22.91,32.65,27.75
2.243811338,266.3846,23.15,32.81,27.96
1.860307521,353.7486,22.38,32.02,27.18
1.869063919,231.5684,22.82,32.79,27.78
1.713110624,336.1604,22.82,32.54,27.66
1.922327078,172.6731,23.01,32.95,27.96
2.113357546,321.0908,22.69,32.26,27.45
1.376753932,245.5392,22.4,32.08,27.21
1.615945131,389.3225,22.88,31.89,27.36
2.376540183,199.5242,23.03,32.5,27.74
2.549598487,384.4343,22.83,32,27.39
2.801687584,286.0045,23.15,32.54,27.81
2.742922988,268.5735,23.22,32.68,27.93
2.724188757,254.2779,23.27,32.76,27.99
2.633082759,298.5497,22.76,32.2,27.46
2.686493578,307.0927,23.09,32.42,27.73
2.738862646,374.7181,23.09,32.48,27.76
2.730031227,249.2137,23.14,32.67,27.88
3.053504496,101.8735,23.28,32.8,28.01
2.592104911,299.1285,23.7,32.64,28.15
2.56262737,213.996,23.48,32.52,27.98
2.761997833,349.9162,23.31,32.25,27.75
2.761997833,265.7002,23.25,32.36,27.78
2.685273,230.2346,23.24,33.02,28.1
2.733984,256.5339,23.68,33.03,28.33
2.2539035,380.5964,23.03,31.91,27.44
0.790254634,215.5982,22.15,32.17,27.13
