Provinsi,Persentase Penduduk Miskin (%),IPM,Tingkat Pengangguran Terbuka (%),Rata-rata Laju Pertumbuhan Penduduk,Gini Ratio,Pengeluaran per Kapita (Rp)
Bangka Belitung,4.53,72.24,4.475,1.52005952239114,0.2455,1654280.52636894
,Gorontalo,15.465,69.81,2.915,1.02297967362881,0.4205,1142996.73307004
Riau,6.81,73.52,4.385,1.95445503152856,0.3245,1425170.85636553
Jakarta Raya,4.65,81.65,7.59,0.636143969696956,0.4175,2525347.36914395
Kepulauan Riau,6.135,76.46,8.125,3.15286730352036,0.3335,1831700.39611225
Sulawesi Selatan,8.645,72.82,5.13,0.955339835358249,0.371,1142611.70249242
Sumatera Selatan,11.925,70.9,4.685,1.2732891002275,0.3345,1148812.47068194
Kalimantan Barat,6.77,68.63,4.985,1.33353452342859,0.3125,1232618.22327629
Aceh,14.695,72.8,6.07,1.43292952702088,0.301,1180132.92666656
Bengkulu,14.48,72.16,3.49,1.3972511175391,0.315,1196483.76342774
Lampung,11.505,70.45,4.415,1.0659083979105,0.3135,1074987.43278275
Jawa Tengah,10.955,72.79,5.66,0.805627625306915,0.37,1121793.86449144
Nusa Tenggara Barat,13.75,69.46,3.405,1.63951841697438,0.3735,1160662.07482008
Sumatera Utara,8.375,72.71,5.815,1.2140101613094,0.319,1216496.65066977
Jambi,7.66,72.14,4.645,1.32858966775584,0.3275,1261836.78455549
Banten,6.2,73.32,8.31,1.65737175283778,0.37,1619571.70779428
Jawa Timur,10.435,72.75,5.15,0.678773775235642,0.368,1165137.91130316
Yogyakarta,11.415,80.64,3.895,1.44309171537949,0.449,1480374.28120356
Kalimantan Selatan,4.55,71.84,4.47,1.51336738145602,0.313,1407718.93636712
Sulawesi Utara,7.31,73.81,6.56,0.817396045522645,0.362,1236705.50884331
Kalimantan Utara,6.815,71.83,4.475,2.09571759985412,0.271,1570185.9835066
Sulawesi Barat,11.835,66.92,2.725,1.57614466274745,0.3665,955905.281525452
Maluku Utara,6.3,69.47,4.48,1.61159780016669,0.294,1128586.34798578
Kalimantan Tengah,5.25,71.63,4.23,1.51323910239629,0.314,1442295.23590153
Nusa Tenggara Timur,20.14,65.9,3.42,1.50145916060771,0.337,884102.079216544
Papua Barat,21.38,65.89,5.575,2.45841222779226,0.377,1448505.39003138
Jawa Barat,8.02,73.12,8.33,1.33289163898007,0.4145,1437394.11978229
Sulawesi Tenggara,11.22,72.23,3.61,1.66127642952731,0.3765,1111595.30174638
Sumatera Barat,5.98,73.26,6.225,1.09159578447231,0.296,1342985.50624297
Papua,26.68,61.39,3.215,1.51663504515767,0.3995,1454320.70847208
Kalimantan Timur,6.375,77.44,6.24,1.41489786898661,0.322,1797485.53220481
Maluku,16.1,70.22,6.66,1.01001887698713,0.3035,1169828.32555399
Bali,4.55,76.44,4.82,1.28637693838674,0.3625,1442609.76830757
Sulawesi Tengah,12.315,70.28,3.335,1.53014912463139,0.3065,1083678.96174244
